ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,94.37,bitonic_sort_step,bitonic_sort_step..,"6,11","5,77","1,01","2,55",26,"    8,    1,    1","  512,    1,    1"
1,94.37,bitonic_sort_step,bitonic_sort_step..,"6,43","6,07","0,97","2,27",26,"    8,    1,    1","  512,    1,    1"
2,94.37,bitonic_sort_step,bitonic_sort_step..,"6,37","6,01","0,97","1,93",26,"    8,    1,    1","  512,    1,    1"
3,94.37,bitonic_sort_step,bitonic_sort_step..,"6,43","6,07","0,96","2,23",26,"    8,    1,    1","  512,    1,    1"
4,94.37,bitonic_sort_step,bitonic_sort_step..,"6,50","6,13","0,97","1,86",26,"    8,    1,    1","  512,    1,    1"
5,94.37,bitonic_sort_step,bitonic_sort_step..,"6,37","6,01","0,96","1,79",26,"    8,    1,    1","  512,    1,    1"
6,94.37,bitonic_sort_step,bitonic_sort_step..,"6,40","6,04","0,96","1,89",26,"    8,    1,    1","  512,    1,    1"
7,94.37,bitonic_sort_step,bitonic_sort_step..,"6,37","6,01","0,97","1,96",26,"    8,    1,    1","  512,    1,    1"
8,94.37,bitonic_sort_step,bitonic_sort_step..,"6,37","6,01","0,95","1,78",26,"    8,    1,    1","  512,    1,    1"
9,94.37,bitonic_sort_step,bitonic_sort_step..,"6,34","5,98","0,90","1,59",26,"    8,    1,    1","  512,    1,    1"
10,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,66","2,13",26,"    8,    1,    1","  512,    1,    1"
11,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,69","2,13",26,"    8,    1,    1","  512,    1,    1"
12,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,68","2,40",26,"    8,    1,    1","  512,    1,    1"
13,94.37,bitonic_sort_step,bitonic_sort_step..,"4,80","4,53","0,67","2,08",26,"    8,    1,    1","  512,    1,    1"
14,94.37,bitonic_sort_step,bitonic_sort_step..,"4,80","4,53","0,67","1,85",26,"    8,    1,    1","  512,    1,    1"
15,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,37","2,12",26,"    8,    1,    1","  512,    1,    1"
16,94.37,bitonic_sort_step,bitonic_sort_step..,"4,64","4,38","0,53","2,05",26,"    8,    1,    1","  512,    1,    1"
17,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,63","2,16",26,"    8,    1,    1","  512,    1,    1"
18,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,66","2,29",26,"    8,    1,    1","  512,    1,    1"
19,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,64","2,02",26,"    8,    1,    1","  512,    1,    1"
20,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,59","1,71",26,"    8,    1,    1","  512,    1,    1"
