ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"52,83","0,00","35,52","88,49",26," 4096,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"55,65","0,00","37,06","89,96",26," 4096,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"45,22","0,00","35,21","84,20",26," 4096,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"54,66","0,00","38,24","90,36",26," 4096,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"41,79","0,00","38,81","80,19",26," 4096,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"45,95","0,00","45,54","85,06",26," 4096,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"43,81","0,00","47,61","86,02",26," 4096,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"41,47","0,00","39,44","84,40",26," 4096,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"41,18","0,00","48,75","82,14",26," 4096,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"40,70","0,00","46,98","81,67",26," 4096,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"39,26","0,00","27,61","88,09",26," 4096,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"37,28","0,00","26,33","88,15",26," 4096,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"37,60","0,00","28,39","87,65",26," 4096,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"35,30","0,00","29,72","86,56",26," 4096,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"34,02","0,00","28,92","85,94",26," 4096,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"38,24","0,00","15,27","89,00",26," 4096,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"37,70","0,00","23,53","88,12",26," 4096,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"37,82","0,00","26,08","87,88",26," 4096,    1,    1","  512,    1,    1"
