ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"7,40","0,00","16,53","87,98",26,"262144,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"5,67","0,00","23,90","85,17",26,"262144,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"7,58","0,00","21,12","87,66",26,"262144,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"6,63","0,00","20,13","80,45",26,"262144,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"5,37","0,00","30,04","88,41",26,"262144,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"5,43","0,00","29,29","88,03",26,"262144,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"7,08","0,00","20,26","74,38",26,"262144,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"6,70","0,00","23,45","80,77",26,"262144,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"7,18","0,00","22,16","71,96",26,"262144,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"7,08","0,00","19,78","69,63",26,"262144,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","15,57","84,89",26,"262144,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"5,83","0,00","14,42","82,67",26,"262144,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"7,05","0,00","11,83","86,57",26,"262144,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"6,40","0,00","12,98","87,47",26,"262144,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"6,39","0,00","12,97","86,10",26,"262144,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"6,25","0,00","7,19","71,45",26,"262144,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"5,43","0,00","15,40","84,83",26,"262144,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"5,64","0,00","14,78","87,30",26,"262144,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"7,01","0,00","11,94","86,43",26,"262144,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"5,93","0,00","14,12","87,51",26,"262144,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"6,24","0,00","13,50","87,42",26,"262144,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"5,37","0,00","6,68","78,57",26,"262144,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"6,22","0,00","7,21","71,88",26,"262144,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"5,44","0,00","15,38","84,44",26,"262144,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"5,85","0,00","14,29","85,47",26,"262144,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"6,71","0,00","12,55","86,59",26,"262144,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"5,81","0,00","14,42","87,84",26,"262144,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"5,91","0,00","14,04","81,50",26,"262144,    1,    1","  512,    1,    1"
28,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","5,86","75,09",26,"262144,    1,    1","  512,    1,    1"
29,0.00,bitonic_sort_step,bitonic_sort_step..,"5,34","0,00","6,70","79,19",26,"262144,    1,    1","  512,    1,    1"
30,0.00,bitonic_sort_step,bitonic_sort_step..,"6,27","0,00","7,08","71,49",26,"262144,    1,    1","  512,    1,    1"
31,0.00,bitonic_sort_step,bitonic_sort_step..,"5,48","0,00","15,14","84,31",26,"262144,    1,    1","  512,    1,    1"
32,0.00,bitonic_sort_step,bitonic_sort_step..,"6,28","0,00","13,36","80,64",26,"262144,    1,    1","  512,    1,    1"
33,0.00,bitonic_sort_step,bitonic_sort_step..,"6,51","0,00","12,78","88,72",26,"262144,    1,    1","  512,    1,    1"
34,0.00,bitonic_sort_step,bitonic_sort_step..,"6,00","0,00","13,85","85,41",26,"262144,    1,    1","  512,    1,    1"
35,0.00,bitonic_sort_step,bitonic_sort_step..,"6,38","0,00","12,65","70,51",26,"262144,    1,    1","  512,    1,    1"
36,0.00,bitonic_sort_step,bitonic_sort_step..,"4,98","0,00","6,24","82,30",26,"262144,    1,    1","  512,    1,    1"
37,0.00,bitonic_sort_step,bitonic_sort_step..,"5,58","0,00","5,85","75,62",26,"262144,    1,    1","  512,    1,    1"
38,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","6,72","78,91",26,"262144,    1,    1","  512,    1,    1"
39,0.00,bitonic_sort_step,bitonic_sort_step..,"6,33","0,00","7,04","70,89",26,"262144,    1,    1","  512,    1,    1"
40,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","14,40","82,01",26,"262144,    1,    1","  512,    1,    1"
41,0.00,bitonic_sort_step,bitonic_sort_step..,"6,38","0,00","12,89","79,29",26,"262144,    1,    1","  512,    1,    1"
42,0.00,bitonic_sort_step,bitonic_sort_step..,"6,73","0,00","12,25","86,32",26,"262144,    1,    1","  512,    1,    1"
43,0.00,bitonic_sort_step,bitonic_sort_step..,"6,43","0,00","12,56","79,36",26,"262144,    1,    1","  512,    1,    1"
44,0.00,bitonic_sort_step,bitonic_sort_step..,"6,25","0,00","12,07","67,92",26,"262144,    1,    1","  512,    1,    1"
45,0.00,bitonic_sort_step,bitonic_sort_step..,"4,82","0,00","6,22","84,15",26,"262144,    1,    1","  512,    1,    1"
46,0.00,bitonic_sort_step,bitonic_sort_step..,"5,08","0,00","6,18","80,82",26,"262144,    1,    1","  512,    1,    1"
47,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","5,86","75,02",26,"262144,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,78","79,06",26,"262144,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"6,45","0,00","6,71","69,63",26,"262144,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"5,64","0,00","13,90","81,84",26,"262144,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"6,20","0,00","12,89","81,11",26,"262144,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"6,71","0,00","11,81","86,22",26,"262144,    1,    1","  512,    1,    1"
53,0.00,bitonic_sort_step,bitonic_sort_step..,"6,44","0,00","11,84","78,09",26,"262144,    1,    1","  512,    1,    1"
54,0.00,bitonic_sort_step,bitonic_sort_step..,"5,78","0,00","11,59","69,81",26,"262144,    1,    1","  512,    1,    1"
55,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,25","84,77",26,"262144,    1,    1","  512,    1,    1"
56,0.00,bitonic_sort_step,bitonic_sort_step..,"4,87","0,00","6,26","83,48",26,"262144,    1,    1","  512,    1,    1"
57,0.00,bitonic_sort_step,bitonic_sort_step..,"5,10","0,00","6,03","80,62",26,"262144,    1,    1","  512,    1,    1"
58,0.00,bitonic_sort_step,bitonic_sort_step..,"5,63","0,00","5,84","74,90",26,"262144,    1,    1","  512,    1,    1"
59,0.00,bitonic_sort_step,bitonic_sort_step..,"5,28","0,00","6,76","79,90",26,"262144,    1,    1","  512,    1,    1"
