ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"833,28","0,00","19,00","89,21",26,"32768,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"864,10","0,00","22,35","88,35",26,"32768,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"575,14","0,00","23,94","87,74",26,"32768,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"876,93","0,00","22,11","87,61",26,"32768,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"551,04","0,00","25,51","73,31",26,"32768,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"588,67","0,00","33,05","87,61",26,"32768,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"590,34","0,00","32,67","87,65",26,"32768,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"595,62","0,00","23,61","70,46",26,"32768,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"685,44","0,00","28,56","61,81",26,"32768,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"742,75","0,00","24,20","55,80",26,"32768,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"554,40","0,00","17,72","86,98",26,"32768,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"510,37","0,00","16,64","78,19",26,"32768,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"572,54","0,00","17,25","69,53",26,"32768,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"549,09","0,00","17,64","66,95",26,"32768,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"470,66","0,00","18,67","70,75",26,"32768,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"488,51","0,00","11,16","88,60",26,"32768,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"551,07","0,00","15,04","79,85",26,"32768,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"544,80","0,00","15,80","74,94",26,"32768,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"571,71","0,00","14,66","75,35",26,"32768,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"538,08","0,00","14,73","71,01",26,"32768,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"449,09","0,00","16,10","71,82",26,"32768,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"523,17","0,00","8,02","85,36",26,"32768,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"557,06","0,00","8,10","78,04",26,"32768,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"570,46","0,00","14,97","78,77",26,"32768,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"582,53","0,00","14,30","72,49",26,"32768,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"588,38","0,00","14,15","76,91",26,"32768,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"551,74","0,00","14,28","69,31",26,"32768,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"351,14","0,00","18,16","73,04",26,"32768,    1,    1","  512,    1,    1"
28,0.00,bitonic_sort_step,bitonic_sort_step..,"554,18","0,00","7,23","80,10",26,"32768,    1,    1","  512,    1,    1"
29,0.00,bitonic_sort_step,bitonic_sort_step..,"493,70","0,00","7,99","86,26",26,"32768,    1,    1","  512,    1,    1"
30,0.00,bitonic_sort_step,bitonic_sort_step..,"606,56","0,00","8,16","76,42",26,"32768,    1,    1","  512,    1,    1"
31,0.00,bitonic_sort_step,bitonic_sort_step..,"564,74","0,00","15,29","78,18",26,"32768,    1,    1","  512,    1,    1"
32,0.00,bitonic_sort_step,bitonic_sort_step..,"541,63","0,00","15,83","74,18",26,"32768,    1,    1","  512,    1,    1"
33,0.00,bitonic_sort_step,bitonic_sort_step..,"552,58","0,00","14,91","74,25",26,"32768,    1,    1","  512,    1,    1"
34,0.00,bitonic_sort_step,bitonic_sort_step..,"478,34","0,00","16,11","62,32",26,"32768,    1,    1","  512,    1,    1"
35,0.00,bitonic_sort_step,bitonic_sort_step..,"324,86","0,00","17,93","72,16",26,"32768,    1,    1","  512,    1,    1"
36,0.00,bitonic_sort_step,bitonic_sort_step..,"511,90","0,00","7,50","84,73",26,"32768,    1,    1","  512,    1,    1"
37,0.00,bitonic_sort_step,bitonic_sort_step..,"514,53","0,00","7,44","83,58",26,"32768,    1,    1","  512,    1,    1"
38,0.00,bitonic_sort_step,bitonic_sort_step..,"521,44","0,00","8,13","84,24",26,"32768,    1,    1","  512,    1,    1"
39,0.00,bitonic_sort_step,bitonic_sort_step..,"594,21","0,00","7,97","76,23",26,"32768,    1,    1","  512,    1,    1"
40,0.00,bitonic_sort_step,bitonic_sort_step..,"530,98","0,00","15,07","77,40",26,"32768,    1,    1","  512,    1,    1"
41,0.00,bitonic_sort_step,bitonic_sort_step..,"484,06","0,00","16,91","75,67",26,"32768,    1,    1","  512,    1,    1"
42,0.00,bitonic_sort_step,bitonic_sort_step..,"472,58","0,00","16,64","74,34",26,"32768,    1,    1","  512,    1,    1"
43,0.00,bitonic_sort_step,bitonic_sort_step..,"384,90","0,00","18,22","65,94",26,"32768,    1,    1","  512,    1,    1"
44,0.00,bitonic_sort_step,bitonic_sort_step..,"272,16","0,00","19,27","77,04",26,"32768,    1,    1","  512,    1,    1"
45,0.00,bitonic_sort_step,bitonic_sort_step..,"489,09","0,00","7,33","87,59",26,"32768,    1,    1","  512,    1,    1"
46,0.00,bitonic_sort_step,bitonic_sort_step..,"487,84","0,00","7,42","88,08",26,"32768,    1,    1","  512,    1,    1"
47,0.00,bitonic_sort_step,bitonic_sort_step..,"529,60","0,00","7,20","82,60",26,"32768,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"509,76","0,00","8,07","85,57",26,"32768,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"583,90","0,00","7,89","77,00",26,"32768,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"507,20","0,00","15,02","77,51",26,"32768,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"443,62","0,00","17,10","76,00",26,"32768,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"392,99","0,00","17,70","75,13",26,"32768,    1,    1","  512,    1,    1"
53,0.00,bitonic_sort_step,bitonic_sort_step..,"320,10","0,00","19,86","71,01",26,"32768,    1,    1","  512,    1,    1"
54,0.00,bitonic_sort_step,bitonic_sort_step..,"247,20","0,00","20,04","80,87",26,"32768,    1,    1","  512,    1,    1"
55,0.00,bitonic_sort_step,bitonic_sort_step..,"480,96","0,00","7,56","88,29",26,"32768,    1,    1","  512,    1,    1"
56,0.00,bitonic_sort_step,bitonic_sort_step..,"478,78","0,00","7,58","88,82",26,"32768,    1,    1","  512,    1,    1"
57,0.00,bitonic_sort_step,bitonic_sort_step..,"502,37","0,00","7,46","86,07",26,"32768,    1,    1","  512,    1,    1"
58,0.00,bitonic_sort_step,bitonic_sort_step..,"519,04","0,00","7,26","83,83",26,"32768,    1,    1","  512,    1,    1"
59,0.00,bitonic_sort_step,bitonic_sort_step..,"506,50","0,00","7,95","86,18",26,"32768,    1,    1","  512,    1,    1"
60,0.00,bitonic_sort_step,bitonic_sort_step..,"572,48","0,00","7,87","78,33",26,"32768,    1,    1","  512,    1,    1"
61,0.00,bitonic_sort_step,bitonic_sort_step..,"503,20","0,00","14,77","77,24",26,"32768,    1,    1","  512,    1,    1"
62,0.00,bitonic_sort_step,bitonic_sort_step..,"409,79","0,00","17,53","76,67",26,"32768,    1,    1","  512,    1,    1"
63,0.00,bitonic_sort_step,bitonic_sort_step..,"363,68","0,00","18,83","74,79",26,"32768,    1,    1","  512,    1,    1"
64,0.00,bitonic_sort_step,bitonic_sort_step..,"288,99","0,00","20,48","74,41",26,"32768,    1,    1","  512,    1,    1"
65,0.00,bitonic_sort_step,bitonic_sort_step..,"236,96","0,00","20,60","82,75",26,"32768,    1,    1","  512,    1,    1"
