ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"7,42","0,00","16,51","87,79",26,"262144,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"5,76","0,00","23,81","83,67",26,"262144,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"7,66","0,00","21,12","86,79",26,"262144,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"6,70","0,00","19,99","79,64",26,"262144,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","30,08","88,52",26,"262144,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"5,47","0,00","29,53","87,47",26,"262144,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"6,99","0,00","20,25","75,21",26,"262144,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"6,79","0,00","23,43","79,91",26,"262144,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"7,23","0,00","22,04","71,53",26,"262144,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"7,11","0,00","19,87","69,39",26,"262144,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"5,38","0,00","15,59","84,46",26,"262144,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"5,83","0,00","14,39","82,59",26,"262144,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"7,06","0,00","11,84","86,41",26,"262144,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"6,42","0,00","13,00","87,21",26,"262144,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"6,39","0,00","12,99","86,10",26,"262144,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"6,21","0,00","7,18","71,87",26,"262144,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"5,44","0,00","15,39","84,64",26,"262144,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"5,64","0,00","14,82","87,36",26,"262144,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"7,03","0,00","11,89","86,12",26,"262144,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"5,92","0,00","14,18","87,58",26,"262144,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"6,19","0,00","13,49","88,26",26,"262144,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"5,33","0,00","6,67","79,20",26,"262144,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"6,22","0,00","7,15","71,93",26,"262144,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"5,43","0,00","15,39","84,79",26,"262144,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"5,84","0,00","14,32","85,56",26,"262144,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"6,68","0,00","12,46","86,90",26,"262144,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"5,80","0,00","14,44","87,94",26,"262144,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"5,91","0,00","14,08","81,43",26,"262144,    1,    1","  512,    1,    1"
28,0.00,bitonic_sort_step,bitonic_sort_step..,"5,59","0,00","5,88","75,46",26,"262144,    1,    1","  512,    1,    1"
29,0.00,bitonic_sort_step,bitonic_sort_step..,"5,29","0,00","6,67","79,95",26,"262144,    1,    1","  512,    1,    1"
30,0.00,bitonic_sort_step,bitonic_sort_step..,"6,23","0,00","7,17","71,93",26,"262144,    1,    1","  512,    1,    1"
31,0.00,bitonic_sort_step,bitonic_sort_step..,"5,47","0,00","15,08","84,40",26,"262144,    1,    1","  512,    1,    1"
32,0.00,bitonic_sort_step,bitonic_sort_step..,"6,27","0,00","13,33","80,78",26,"262144,    1,    1","  512,    1,    1"
33,0.00,bitonic_sort_step,bitonic_sort_step..,"6,54","0,00","12,90","88,33",26,"262144,    1,    1","  512,    1,    1"
34,0.00,bitonic_sort_step,bitonic_sort_step..,"6,01","0,00","13,86","85,20",26,"262144,    1,    1","  512,    1,    1"
35,0.00,bitonic_sort_step,bitonic_sort_step..,"6,36","0,00","12,68","70,75",26,"262144,    1,    1","  512,    1,    1"
36,0.00,bitonic_sort_step,bitonic_sort_step..,"5,00","0,00","6,23","81,88",26,"262144,    1,    1","  512,    1,    1"
37,0.00,bitonic_sort_step,bitonic_sort_step..,"5,59","0,00","5,89","75,49",26,"262144,    1,    1","  512,    1,    1"
38,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,73","79,00",26,"262144,    1,    1","  512,    1,    1"
39,0.00,bitonic_sort_step,bitonic_sort_step..,"6,34","0,00","7,01","70,71",26,"262144,    1,    1","  512,    1,    1"
