ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"835,71","0,00","19,12","88,75",26,"32768,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"861,28","0,00","22,52","88,22",26,"32768,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"567,01","0,00","24,36","88,70",26,"32768,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"866,98","0,00","22,32","88,18",26,"32768,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"543,01","0,00","27,23","73,37",26,"32768,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"579,55","0,00","33,48","88,49",26,"32768,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"587,78","0,00","33,40","87,57",26,"32768,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"585,15","0,00","24,10","71,17",26,"32768,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"660,54","0,00","28,46","63,61",26,"32768,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"737,50","0,00","24,59","55,81",26,"32768,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"575,20","0,00","17,63","83,42",26,"32768,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"503,17","0,00","16,99","78,59",26,"32768,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"573,12","0,00","17,37","69,59",26,"32768,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"543,39","0,00","17,99","67,57",26,"32768,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"467,78","0,00","18,99","71,21",26,"32768,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"493,02","0,00","10,90","88,42",26,"32768,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"567,97","0,00","14,26","77,46",26,"32768,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"539,49","0,00","15,74","75,37",26,"32768,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"560,32","0,00","14,49","76,56",26,"32768,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"540,16","0,00","14,71","70,86",26,"32768,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"446,50","0,00","16,31","72,22",26,"32768,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"527,30","0,00","7,90","84,44",26,"32768,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"553,41","0,00","8,07","78,91",26,"32768,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"589,47","0,00","14,43","76,14",26,"32768,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"585,54","0,00","14,68","72,06",26,"32768,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"589,95","0,00","14,00","76,82",26,"32768,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"551,62","0,00","14,39","69,24",26,"32768,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"347,20","0,00","18,21","73,85",26,"32768,    1,    1","  512,    1,    1"
28,0.00,bitonic_sort_step,bitonic_sort_step..,"546,24","0,00","7,40","80,82",26,"32768,    1,    1","  512,    1,    1"
29,0.00,bitonic_sort_step,bitonic_sort_step..,"499,58","0,00","7,95","85,03",26,"32768,    1,    1","  512,    1,    1"
30,0.00,bitonic_sort_step,bitonic_sort_step..,"605,89","0,00","8,18","76,27",26,"32768,    1,    1","  512,    1,    1"
31,0.00,bitonic_sort_step,bitonic_sort_step..,"594,75","0,00","14,73","74,28",26,"32768,    1,    1","  512,    1,    1"
32,0.00,bitonic_sort_step,bitonic_sort_step..,"538,78","0,00","15,90","74,42",26,"32768,    1,    1","  512,    1,    1"
33,0.00,bitonic_sort_step,bitonic_sort_step..,"551,84","0,00","15,22","74,33",26,"32768,    1,    1","  512,    1,    1"
34,0.00,bitonic_sort_step,bitonic_sort_step..,"476,61","0,00","16,36","62,62",26,"32768,    1,    1","  512,    1,    1"
35,0.00,bitonic_sort_step,bitonic_sort_step..,"314,56","0,00","18,29","73,67",26,"32768,    1,    1","  512,    1,    1"
36,0.00,bitonic_sort_step,bitonic_sort_step..,"505,82","0,00","7,42","85,06",26,"32768,    1,    1","  512,    1,    1"
37,0.00,bitonic_sort_step,bitonic_sort_step..,"518,75","0,00","7,27","83,27",26,"32768,    1,    1","  512,    1,    1"
38,0.00,bitonic_sort_step,bitonic_sort_step..,"520,19","0,00","8,13","84,20",26,"32768,    1,    1","  512,    1,    1"
39,0.00,bitonic_sort_step,bitonic_sort_step..,"593,38","0,00","7,91","76,37",26,"32768,    1,    1","  512,    1,    1"
40,0.00,bitonic_sort_step,bitonic_sort_step..,"547,71","0,00","14,42","74,97",26,"32768,    1,    1","  512,    1,    1"
