ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,94.37,bitonic_sort_step,bitonic_sort_step..,"6,18","5,83","1,02","2,52",26,"    8,    1,    1","  512,    1,    1"
1,94.37,bitonic_sort_step,bitonic_sort_step..,"6,56","6,19","0,99","2,23",26,"    8,    1,    1","  512,    1,    1"
2,94.37,bitonic_sort_step,bitonic_sort_step..,"6,43","6,07","0,98","1,92",26,"    8,    1,    1","  512,    1,    1"
3,94.37,bitonic_sort_step,bitonic_sort_step..,"6,40","6,04","1,00","2,24",26,"    8,    1,    1","  512,    1,    1"
4,94.37,bitonic_sort_step,bitonic_sort_step..,"6,40","6,04","0,99","1,87",26,"    8,    1,    1","  512,    1,    1"
5,94.37,bitonic_sort_step,bitonic_sort_step..,"6,40","6,04","0,98","1,78",26,"    8,    1,    1","  512,    1,    1"
6,94.37,bitonic_sort_step,bitonic_sort_step..,"6,34","5,98","0,97","1,89",26,"    8,    1,    1","  512,    1,    1"
7,94.37,bitonic_sort_step,bitonic_sort_step..,"6,46","6,10","1,00","1,89",26,"    8,    1,    1","  512,    1,    1"
8,94.37,bitonic_sort_step,bitonic_sort_step..,"6,34","5,98","0,98","1,77",26,"    8,    1,    1","  512,    1,    1"
9,94.37,bitonic_sort_step,bitonic_sort_step..,"6,40","6,04","0,92","1,56",26,"    8,    1,    1","  512,    1,    1"
10,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,68","2,15",26,"    8,    1,    1","  512,    1,    1"
11,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,72","2,18",26,"    8,    1,    1","  512,    1,    1"
12,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,70","2,37",26,"    8,    1,    1","  512,    1,    1"
13,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,70","2,12",26,"    8,    1,    1","  512,    1,    1"
14,94.37,bitonic_sort_step,bitonic_sort_step..,"4,80","4,53","0,69","1,87",26,"    8,    1,    1","  512,    1,    1"
15,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,37","2,19",26,"    8,    1,    1","  512,    1,    1"
16,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,55","2,03",26,"    8,    1,    1","  512,    1,    1"
17,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,65","2,16",26,"    8,    1,    1","  512,    1,    1"
18,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,67","2,32",26,"    8,    1,    1","  512,    1,    1"
19,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,66","2,04",26,"    8,    1,    1","  512,    1,    1"
20,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,59","1,77",26,"    8,    1,    1","  512,    1,    1"
21,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,31","2,03",26,"    8,    1,    1","  512,    1,    1"
22,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,30","1,98",26,"    8,    1,    1","  512,    1,    1"
23,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,60","2,03",26,"    8,    1,    1","  512,    1,    1"
24,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,61","2,18",26,"    8,    1,    1","  512,    1,    1"
25,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,62","2,28",26,"    8,    1,    1","  512,    1,    1"
26,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,58","1,99",26,"    8,    1,    1","  512,    1,    1"
27,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,55","1,64",26,"    8,    1,    1","  512,    1,    1"
