ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"7,44","0,00","16,47","87,59",26,"262144,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"5,52","0,00","23,25","87,27",26,"262144,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"7,68","0,00","21,13","86,58",26,"262144,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"6,77","0,00","19,95","78,96",26,"262144,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","29,96","88,52",26,"262144,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"5,42","0,00","29,48","88,34",26,"262144,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"7,22","0,00","20,21","73,01",26,"262144,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"6,76","0,00","23,96","80,08",26,"262144,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"7,19","0,00","21,33","71,91",26,"262144,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"7,03","0,00","19,90","70,18",26,"262144,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"5,37","0,00","15,56","84,68",26,"262144,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"5,82","0,00","14,41","82,88",26,"262144,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"7,05","0,00","11,87","86,59",26,"262144,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"6,42","0,00","13,07","87,11",26,"262144,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"6,40","0,00","13,00","85,98",26,"262144,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"6,23","0,00","7,17","71,66",26,"262144,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"5,42","0,00","15,34","84,87",26,"262144,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"5,65","0,00","14,79","87,34",26,"262144,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"7,03","0,00","11,91","86,13",26,"262144,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"5,94","0,00","14,13","87,32",26,"262144,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"6,19","0,00","13,50","88,23",26,"262144,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"5,33","0,00","6,68","79,26",26,"262144,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"6,23","0,00","7,16","71,81",26,"262144,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"5,45","0,00","15,40","84,27",26,"262144,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"5,85","0,00","14,32","85,51",26,"262144,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"6,70","0,00","12,50","86,70",26,"262144,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"5,79","0,00","14,44","88,06",26,"262144,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"5,90","0,00","13,99","81,61",26,"262144,    1,    1","  512,    1,    1"
