ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"44,61","0,00","35,58","86,85",26," 4096,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"42,37","0,00","39,56","87,43",26," 4096,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"45,79","0,00","38,39","88,39",26," 4096,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"44,90","0,00","37,90","88,98",26," 4096,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"42,11","0,00","41,54","86,48",26," 4096,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"41,02","0,00","42,09","86,18",26," 4096,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"41,73","0,00","41,26","87,82",26," 4096,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"43,42","0,00","39,95","88,68",26," 4096,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"40,67","0,00","42,08","86,54",26," 4096,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"39,62","0,00","41,42","85,56",26," 4096,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"36,83","0,00","25,74","88,39",26," 4096,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"37,22","0,00","25,20","88,79",26," 4096,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"40,10","0,00","23,40","89,16",26," 4096,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"36,29","0,00","25,73","88,28",26," 4096,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"34,91","0,00","26,32","87,27",26," 4096,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"35,90","0,00","14,60","88,31",26," 4096,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"36,06","0,00","25,56","88,03",26," 4096,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"36,64","0,00","25,08","88,51",26," 4096,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"38,82","0,00","23,61","88,76",26," 4096,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"34,98","0,00","26,01","87,65",26," 4096,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"33,50","0,00","26,50","86,43",26," 4096,    1,    1","  512,    1,    1"
21,5.07,bitonic_sort_step,bitonic_sort_step..,"35,39","1,79","12,14","87,99",26," 4096,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"34,98","0,00","14,62","88,33",26," 4096,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"35,30","0,00","24,86","87,94",26," 4096,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"35,87","0,00","24,70","87,89",26," 4096,    1,    1","  512,    1,    1"
