ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"824,26","0,00","19,35","89,75",26,"32768,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"860,54","0,00","22,59","88,41",26,"32768,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"564,58","0,00","24,69","88,62",26,"32768,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"870,94","0,00","22,31","87,71",26,"32768,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"514,56","0,00","28,59","77,15",26,"32768,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"578,78","0,00","33,54","88,51",26,"32768,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"583,33","0,00","33,38","88,11",26,"32768,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"593,60","0,00","23,71","70,21",26,"32768,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"673,02","0,00","27,74","62,52",26,"32768,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"754,94","0,00","23,79","54,51",26,"32768,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"549,95","0,00","18,34","87,30",26,"32768,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"503,87","0,00","16,65","78,45",26,"32768,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"568,16","0,00","17,52","69,97",26,"32768,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"539,33","0,00","18,05","67,84",26,"32768,    1,    1","  512,    1,    1"
