ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,9.67,bitonic_sort_step,bitonic_sort_step..,"8,64","0,84","19,57","45,06",26,"  256,    1,    1","  512,    1,    1"
1,11.07,bitonic_sort_step,bitonic_sort_step..,"8,93","0,99","21,70","48,91",26,"  256,    1,    1","  512,    1,    1"
2,10.94,bitonic_sort_step,bitonic_sort_step..,"7,97","0,87","18,06","37,27",26,"  256,    1,    1","  512,    1,    1"
3,6.72,bitonic_sort_step,bitonic_sort_step..,"8,16","0,55","22,98","51,16",26,"  256,    1,    1","  512,    1,    1"
4,10.85,bitonic_sort_step,bitonic_sort_step..,"7,55","0,82","19,73","33,88",26,"  256,    1,    1","  512,    1,    1"
5,11.31,bitonic_sort_step,bitonic_sort_step..,"7,74","0,88","23,75","39,61",26,"  256,    1,    1","  512,    1,    1"
6,7.99,bitonic_sort_step,bitonic_sort_step..,"7,42","0,59","25,55","40,36",26,"  256,    1,    1","  512,    1,    1"
7,10.38,bitonic_sort_step,bitonic_sort_step..,"7,20","0,75","20,27","39,32",26,"  256,    1,    1","  512,    1,    1"
8,7.79,bitonic_sort_step,bitonic_sort_step..,"7,49","0,58","23,88","35,07",26,"  256,    1,    1","  512,    1,    1"
9,7.09,bitonic_sort_step,bitonic_sort_step..,"7,39","0,52","23,08","34,59",26,"  256,    1,    1","  512,    1,    1"
10,9.54,bitonic_sort_step,bitonic_sort_step..,"6,59","0,63","15,36","40,57",26,"  256,    1,    1","  512,    1,    1"
11,7.11,bitonic_sort_step,bitonic_sort_step..,"6,50","0,46","14,04","41,49",26,"  256,    1,    1","  512,    1,    1"
12,6.75,bitonic_sort_step,bitonic_sort_step..,"6,56","0,44","14,61","40,20",26,"  256,    1,    1","  512,    1,    1"
13,9.70,bitonic_sort_step,bitonic_sort_step..,"6,53","0,63","14,47","36,23",26,"  256,    1,    1","  512,    1,    1"
14,8.73,bitonic_sort_step,bitonic_sort_step..,"6,24","0,54","13,71","36,16",26,"  256,    1,    1","  512,    1,    1"
15,12.20,bitonic_sort_step,bitonic_sort_step..,"6,30","0,77","8,07","43,32",26,"  256,    1,    1","  512,    1,    1"
16,8.65,bitonic_sort_step,bitonic_sort_step..,"6,30","0,55","11,72","41,84",26,"  256,    1,    1","  512,    1,    1"
17,8.29,bitonic_sort_step,bitonic_sort_step..,"6,62","0,55","14,17","40,51",26,"  256,    1,    1","  512,    1,    1"
18,7.58,bitonic_sort_step,bitonic_sort_step..,"6,69","0,51","13,37","42,21",26,"  256,    1,    1","  512,    1,    1"
19,9.13,bitonic_sort_step,bitonic_sort_step..,"6,34","0,58","13,36","38,20",26,"  256,    1,    1","  512,    1,    1"
20,9.50,bitonic_sort_step,bitonic_sort_step..,"6,27","0,60","11,92","34,72",26,"  256,    1,    1","  512,    1,    1"
21,15.24,bitonic_sort_step,bitonic_sort_step..,"6,43","0,98","6,54","41,08",26,"  256,    1,    1","  512,    1,    1"
22,13.43,bitonic_sort_step,bitonic_sort_step..,"6,40","0,86","6,73","41,05",26,"  256,    1,    1","  512,    1,    1"
23,5.89,bitonic_sort_step,bitonic_sort_step..,"6,43","0,38","12,81","42,84",26,"  256,    1,    1","  512,    1,    1"
24,7.68,bitonic_sort_step,bitonic_sort_step..,"6,46","0,50","12,66","41,62",26,"  256,    1,    1","  512,    1,    1"
25,8.48,bitonic_sort_step,bitonic_sort_step..,"6,37","0,54","12,77","42,16",26,"  256,    1,    1","  512,    1,    1"
26,9.23,bitonic_sort_step,bitonic_sort_step..,"6,43","0,59","12,58","35,27",26,"  256,    1,    1","  512,    1,    1"
27,8.93,bitonic_sort_step,bitonic_sort_step..,"6,11","0,55","11,39","32,47",26,"  256,    1,    1","  512,    1,    1"
28,5.76,bitonic_sort_step,bitonic_sort_step..,"6,24","0,36","6,01","42,22",26,"  256,    1,    1","  512,    1,    1"
29,16.81,bitonic_sort_step,bitonic_sort_step..,"6,37","1,07","5,89","40,69",26,"  256,    1,    1","  512,    1,    1"
30,13.26,bitonic_sort_step,bitonic_sort_step..,"6,34","0,84","7,20","42,55",26,"  256,    1,    1","  512,    1,    1"
31,10.07,bitonic_sort_step,bitonic_sort_step..,"6,66","0,67","13,29","40,91",26,"  256,    1,    1","  512,    1,    1"
32,6.27,bitonic_sort_step,bitonic_sort_step..,"6,30","0,40","12,70","41,43",26,"  256,    1,    1","  512,    1,    1"
33,6.96,bitonic_sort_step,bitonic_sort_step..,"6,27","0,44","12,91","41,20",26,"  256,    1,    1","  512,    1,    1"
34,8.69,bitonic_sort_step,bitonic_sort_step..,"6,30","0,55","12,48","33,61",26,"  256,    1,    1","  512,    1,    1"
35,8.90,bitonic_sort_step,bitonic_sort_step..,"6,14","0,55","10,91","29,88",26,"  256,    1,    1","  512,    1,    1"
36,9.17,bitonic_sort_step,bitonic_sort_step..,"6,43","0,59","5,41","40,24",26,"  256,    1,    1","  512,    1,    1"
37,9.27,bitonic_sort_step,bitonic_sort_step..,"6,18","0,57","5,33","42,24",26,"  256,    1,    1","  512,    1,    1"
38,15.20,bitonic_sort_step,bitonic_sort_step..,"6,34","0,96","6,05","41,03",26,"  256,    1,    1","  512,    1,    1"
39,12.93,bitonic_sort_step,bitonic_sort_step..,"6,30","0,81","7,08","42,00",26,"  256,    1,    1","  512,    1,    1"
40,6.58,bitonic_sort_step,bitonic_sort_step..,"6,40","0,42","12,14","41,51",26,"  256,    1,    1","  512,    1,    1"
41,6.71,bitonic_sort_step,bitonic_sort_step..,"6,40","0,43","12,53","39,28",26,"  256,    1,    1","  512,    1,    1"
42,9.20,bitonic_sort_step,bitonic_sort_step..,"6,40","0,59","12,25","38,11",26,"  256,    1,    1","  512,    1,    1"
43,8.23,bitonic_sort_step,bitonic_sort_step..,"6,21","0,51","11,79","31,81",26,"  256,    1,    1","  512,    1,    1"
44,8.67,bitonic_sort_step,bitonic_sort_step..,"6,14","0,53","9,85","28,40",26,"  256,    1,    1","  512,    1,    1"
45,18.19,bitonic_sort_step,bitonic_sort_step..,"6,37","1,16","5,26","40,15",26,"  256,    1,    1","  512,    1,    1"
46,9.85,bitonic_sort_step,bitonic_sort_step..,"6,40","0,63","5,30","40,47",26,"  256,    1,    1","  512,    1,    1"
47,7.65,bitonic_sort_step,bitonic_sort_step..,"6,30","0,48","5,81","41,73",26,"  256,    1,    1","  512,    1,    1"
48,15.64,bitonic_sort_step,bitonic_sort_step..,"6,37","1,00","5,99","40,70",26,"  256,    1,    1","  512,    1,    1"
49,12.14,bitonic_sort_step,bitonic_sort_step..,"6,37","0,77","6,87","41,66",26,"  256,    1,    1","  512,    1,    1"
50,7.97,bitonic_sort_step,bitonic_sort_step..,"6,50","0,52","12,50","40,85",26,"  256,    1,    1","  512,    1,    1"
51,8.68,bitonic_sort_step,bitonic_sort_step..,"6,43","0,56","12,24","37,83",26,"  256,    1,    1","  512,    1,    1"
52,6.72,bitonic_sort_step,bitonic_sort_step..,"6,21","0,42","11,45","37,37",26,"  256,    1,    1","  512,    1,    1"
53,10.14,bitonic_sort_step,bitonic_sort_step..,"6,14","0,62","11,24","30,73",26,"  256,    1,    1","  512,    1,    1"
54,9.77,bitonic_sort_step,bitonic_sort_step..,"6,08","0,59","9,20","27,71",26,"  256,    1,    1","  512,    1,    1"
55,15.36,bitonic_sort_step,bitonic_sort_step..,"6,43","0,99","5,29","40,21",26,"  256,    1,    1","  512,    1,    1"
56,17.73,bitonic_sort_step,bitonic_sort_step..,"6,40","1,13","5,11","40,59",26,"  256,    1,    1","  512,    1,    1"
57,9.84,bitonic_sort_step,bitonic_sort_step..,"6,50","0,64","5,44","39,69",26,"  256,    1,    1","  512,    1,    1"
58,9.46,bitonic_sort_step,bitonic_sort_step..,"6,27","0,59","5,59","42,41",26,"  256,    1,    1","  512,    1,    1"
59,17.12,bitonic_sort_step,bitonic_sort_step..,"6,34","1,08","5,96","41,66",26,"  256,    1,    1","  512,    1,    1"
60,13.34,bitonic_sort_step,bitonic_sort_step..,"6,46","0,86","6,82","41,05",26,"  256,    1,    1","  512,    1,    1"
61,7.01,bitonic_sort_step,bitonic_sort_step..,"6,37","0,45","12,01","41,20",26,"  256,    1,    1","  512,    1,    1"
62,9.54,bitonic_sort_step,bitonic_sort_step..,"6,27","0,60","11,77","38,69",26,"  256,    1,    1","  512,    1,    1"
63,9.27,bitonic_sort_step,bitonic_sort_step..,"6,34","0,59","11,49","35,44",26,"  256,    1,    1","  512,    1,    1"
64,9.38,bitonic_sort_step,bitonic_sort_step..,"6,34","0,59","10,50","28,61",26,"  256,    1,    1","  512,    1,    1"
65,10.29,bitonic_sort_step,bitonic_sort_step..,"6,08","0,63","8,72","27,19",26,"  256,    1,    1","  512,    1,    1"
66,18.08,bitonic_sort_step,bitonic_sort_step..,"6,46","1,17","4,99","39,49",26,"  256,    1,    1","  512,    1,    1"
67,15.76,bitonic_sort_step,bitonic_sort_step..,"6,27","0,99","5,31","41,87",26,"  256,    1,    1","  512,    1,    1"
68,17.44,bitonic_sort_step,bitonic_sort_step..,"6,53","1,14","4,97","39,57",26,"  256,    1,    1","  512,    1,    1"
69,12.83,bitonic_sort_step,bitonic_sort_step..,"6,27","0,80","5,38","41,43",26,"  256,    1,    1","  512,    1,    1"
70,10.42,bitonic_sort_step,bitonic_sort_step..,"6,30","0,66","5,57","41,37",26,"  256,    1,    1","  512,    1,    1"
71,16.78,bitonic_sort_step,bitonic_sort_step..,"6,34","1,06","6,05","41,73",26,"  256,    1,    1","  512,    1,    1"
72,15.12,bitonic_sort_step,bitonic_sort_step..,"6,27","0,95","6,49","42,58",26,"  256,    1,    1","  512,    1,    1"
73,9.46,bitonic_sort_step,bitonic_sort_step..,"6,37","0,60","11,89","40,14",26,"  256,    1,    1","  512,    1,    1"
74,9.79,bitonic_sort_step,bitonic_sort_step..,"6,30","0,62","11,40","36,35",26,"  256,    1,    1","  512,    1,    1"
75,10.94,bitonic_sort_step,bitonic_sort_step..,"6,24","0,68","10,95","33,99",26,"  256,    1,    1","  512,    1,    1"
76,9.88,bitonic_sort_step,bitonic_sort_step..,"6,18","0,61","10,29","28,60",26,"  256,    1,    1","  512,    1,    1"
77,10.30,bitonic_sort_step,bitonic_sort_step..,"6,11","0,63","8,50","26,64",26,"  256,    1,    1","  512,    1,    1"
78,18.43,bitonic_sort_step,bitonic_sort_step..,"6,53","1,20","4,94","38,84",26,"  256,    1,    1","  512,    1,    1"
79,18.84,bitonic_sort_step,bitonic_sort_step..,"6,27","1,18","4,81","40,04",26,"  256,    1,    1","  512,    1,    1"
80,16.35,bitonic_sort_step,bitonic_sort_step..,"6,50","1,06","5,00","39,03",26,"  256,    1,    1","  512,    1,    1"
81,18.77,bitonic_sort_step,bitonic_sort_step..,"6,75","1,27","4,89","37,58",26,"  256,    1,    1","  512,    1,    1"
