ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"7,44","0,00","16,53","87,62",26,"262144,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"5,57","0,00","23,83","86,59",26,"262144,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"7,67","0,00","21,15","86,66",26,"262144,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"6,70","0,00","20,14","79,61",26,"262144,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"5,38","0,00","30,25","88,24",26,"262144,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"5,48","0,00","29,03","87,25",26,"262144,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"7,10","0,00","20,19","74,20",26,"262144,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"6,77","0,00","23,24","80,00",26,"262144,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"6,92","0,00","22,10","74,62",26,"262144,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"7,24","0,00","20,05","68,18",26,"262144,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"5,38","0,00","15,56","84,47",26,"262144,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"5,80","0,00","14,38","83,10",26,"262144,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"7,06","0,00","11,83","86,48",26,"262144,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"6,40","0,00","13,01","87,52",26,"262144,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"6,39","0,00","13,00","86,07",26,"262144,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"6,24","0,00","7,19","71,53",26,"262144,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"5,44","0,00","15,41","84,71",26,"262144,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"5,65","0,00","14,69","87,28",26,"262144,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"7,05","0,00","11,90","85,95",26,"262144,    1,    1","  512,    1,    1"
