ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"54,21","0,00","27,76","91,14",26," 4096,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"43,20","0,00","35,00","88,87",26," 4096,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"60,67","0,00","38,46","90,53",26," 4096,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"43,36","0,00","34,85","88,69",26," 4096,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"48,93","0,00","47,89","85,89",26," 4096,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"48,64","0,00","47,89","86,31",26," 4096,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"42,66","0,00","35,36","88,87",26," 4096,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"45,79","0,00","51,32","87,29",26," 4096,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"45,44","0,00","51,23","87,68",26," 4096,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"45,66","0,00","50,75","86,90",26," 4096,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"39,90","0,00","20,34","89,28",26," 4096,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"40,48","0,00","29,90","89,30",26," 4096,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"40,80","0,00","29,61","89,27",26," 4096,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"40,70","0,00","29,81","89,11",26," 4096,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"40,26","0,00","29,35","89,02",26," 4096,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"40,19","0,00","11,64","89,23",26," 4096,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"40,06","0,00","20,32","89,01",26," 4096,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"40,45","0,00","20,65","88,96",26," 4096,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"40,86","0,00","20,56","89,29",26," 4096,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"40,83","0,00","20,60","89,12",26," 4096,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"39,81","0,00","19,82","89,02",26," 4096,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"39,97","0,00","11,68","88,82",26," 4096,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"40,19","0,00","11,68","89,11",26," 4096,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"40,61","0,00","20,93","89,19",26," 4096,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"41,25","0,00","20,93","89,02",26," 4096,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"42,08","0,00","20,65","89,56",26," 4096,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"41,82","0,00","20,80","89,67",26," 4096,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"40,10","0,00","19,79","88,84",26," 4096,    1,    1","  512,    1,    1"
28,0.00,bitonic_sort_step,bitonic_sort_step..,"40,83","0,00","11,41","88,49",26," 4096,    1,    1","  512,    1,    1"
29,0.00,bitonic_sort_step,bitonic_sort_step..,40,"0,00","11,62","88,65",26," 4096,    1,    1","  512,    1,    1"
30,0.00,bitonic_sort_step,bitonic_sort_step..,"40,51","0,00","12,39","88,48",26," 4096,    1,    1","  512,    1,    1"
31,0.00,bitonic_sort_step,bitonic_sort_step..,"41,12","0,00","22,32","88,71",26," 4096,    1,    1","  512,    1,    1"
32,0.00,bitonic_sort_step,bitonic_sort_step..,"42,08","0,00","22,19","89,20",26," 4096,    1,    1","  512,    1,    1"
33,0.00,bitonic_sort_step,bitonic_sort_step..,"44,06","0,00","21,31","89,51",26," 4096,    1,    1","  512,    1,    1"
34,0.00,bitonic_sort_step,bitonic_sort_step..,"43,65","0,00","21,23","89,53",26," 4096,    1,    1","  512,    1,    1"
35,0.00,bitonic_sort_step,bitonic_sort_step..,"39,81","0,00","19,94","88,50",26," 4096,    1,    1","  512,    1,    1"
36,0.00,bitonic_sort_step,bitonic_sort_step..,"40,51","0,00","11,17","88,15",26," 4096,    1,    1","  512,    1,    1"
37,0.00,bitonic_sort_step,bitonic_sort_step..,"40,77","0,00","11,58","87,98",26," 4096,    1,    1","  512,    1,    1"
38,0.00,bitonic_sort_step,bitonic_sort_step..,"40,42","0,00","12,29","88,65",26," 4096,    1,    1","  512,    1,    1"
39,0.00,bitonic_sort_step,bitonic_sort_step..,"40,90","0,00","14,37","89,14",26," 4096,    1,    1","  512,    1,    1"
40,0.00,bitonic_sort_step,bitonic_sort_step..,"42,30","0,00","25,71","88,53",26," 4096,    1,    1","  512,    1,    1"
41,0.00,bitonic_sort_step,bitonic_sort_step..,"43,55","0,00","25,21","89,24",26," 4096,    1,    1","  512,    1,    1"
42,0.00,bitonic_sort_step,bitonic_sort_step..,"48,45","0,00","22,59","90,35",26," 4096,    1,    1","  512,    1,    1"
43,0.00,bitonic_sort_step,bitonic_sort_step..,"46,75","0,00","23,41","90,18",26," 4096,    1,    1","  512,    1,    1"
44,0.00,bitonic_sort_step,bitonic_sort_step..,"39,30","0,00","20,69","88,46",26," 4096,    1,    1","  512,    1,    1"
45,0.00,bitonic_sort_step,bitonic_sort_step..,"41,41","0,00","10,78","86,76",26," 4096,    1,    1","  512,    1,    1"
46,0.00,bitonic_sort_step,bitonic_sort_step..,"40,06","0,00","11,08","88,45",26," 4096,    1,    1","  512,    1,    1"
47,0.00,bitonic_sort_step,bitonic_sort_step..,"41,60","0,00","11,51","86,64",26," 4096,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"40,10","0,00","12,48","89,05",26," 4096,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"40,74","0,00","15,53","89,53",26," 4096,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"41,92","0,00","27,87","89,15",26," 4096,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"43,36","0,00","27,64","89,81",26," 4096,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"50,02","0,00","23,95","90,49",26," 4096,    1,    1","  512,    1,    1"
