ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"836,16","0,00","19,16","88,75",26,"32768,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"864,48","0,00","22,40","88,00",26,"32768,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"564,06","0,00","24,77","88,91",26,"32768,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"861,76","0,00","22,28","88,74",26,"32768,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"534,02","0,00","27,55","74,76",26,"32768,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"580,45","0,00","33,34","88,29",26,"32768,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"592,38","0,00","33,04","86,92",26,"32768,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"591,52","0,00","24,07","70,47",26,"32768,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"677,70","0,00","28,60","62,07",26,"32768,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"735,97","0,00","24,35","55,95",26,"32768,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"572,13","0,00","17,67","83,90",26,"32768,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,504,"0,00","16,68","78,62",26,"32768,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"571,90","0,00","17,51","69,71",26,"32768,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"539,97","0,00","17,85","67,86",26,"32768,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"472,99","0,00","18,68","70,58",26,"32768,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"494,50","0,00","10,91","88,49",26,"32768,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"568,10","0,00","14,53","77,45",26,"32768,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"535,71","0,00","15,66","75,70",26,"32768,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"558,88","0,00","14,74","76,69",26,"32768,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"540,22","0,00","14,73","70,86",26,"32768,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"447,07","0,00","16,28","72,25",26,"32768,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"527,62","0,00","7,95","84,36",26,"32768,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"556,90","0,00","8,03","78,31",26,"32768,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"584,86","0,00","14,32","76,79",26,"32768,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"591,36","0,00","14,66","71,45",26,"32768,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"600,19","0,00","13,97","75,67",26,"32768,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"555,62","0,00","14,50","68,90",26,"32768,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"348,42","0,00","18,21","73,75",26,"32768,    1,    1","  512,    1,    1"
28,0.00,bitonic_sort_step,bitonic_sort_step..,"555,58","0,00","7,33","79,94",26,"32768,    1,    1","  512,    1,    1"
29,0.00,bitonic_sort_step,bitonic_sort_step..,"494,11","0,00","7,92","85,90",26,"32768,    1,    1","  512,    1,    1"
30,0.00,bitonic_sort_step,bitonic_sort_step..,"610,37","0,00","8,15","75,83",26,"32768,    1,    1","  512,    1,    1"
31,0.00,bitonic_sort_step,bitonic_sort_step..,"594,98","0,00","14,69","74,28",26,"32768,    1,    1","  512,    1,    1"
32,0.00,bitonic_sort_step,bitonic_sort_step..,"539,97","0,00","15,86","74,26",26,"32768,    1,    1","  512,    1,    1"
33,0.00,bitonic_sort_step,bitonic_sort_step..,"545,66","0,00","15,08","75,08",26,"32768,    1,    1","  512,    1,    1"
34,0.00,bitonic_sort_step,bitonic_sort_step..,"474,43","0,00","16,24","62,75",26,"32768,    1,    1","  512,    1,    1"
35,0.00,bitonic_sort_step,bitonic_sort_step..,"311,39","0,00","18,27","74,32",26,"32768,    1,    1","  512,    1,    1"
36,0.00,bitonic_sort_step,bitonic_sort_step..,"505,60","0,00","7,44","85,47",26,"32768,    1,    1","  512,    1,    1"
37,0.00,bitonic_sort_step,bitonic_sort_step..,"513,73","0,00","7,37","84,10",26,"32768,    1,    1","  512,    1,    1"
38,0.00,bitonic_sort_step,bitonic_sort_step..,"521,82","0,00","8,09","83,72",26,"32768,    1,    1","  512,    1,    1"
39,0.00,bitonic_sort_step,bitonic_sort_step..,"593,63","0,00","7,96","76,48",26,"32768,    1,    1","  512,    1,    1"
40,0.00,bitonic_sort_step,bitonic_sort_step..,"543,58","0,00","14,63","75,55",26,"32768,    1,    1","  512,    1,    1"
41,0.00,bitonic_sort_step,bitonic_sort_step..,"479,68","0,00","16,90","76,31",26,"32768,    1,    1","  512,    1,    1"
42,0.00,bitonic_sort_step,bitonic_sort_step..,"468,54","0,00","16,57","74,85",26,"32768,    1,    1","  512,    1,    1"
43,0.00,bitonic_sort_step,bitonic_sort_step..,"377,92","0,00","18,50","66,93",26,"32768,    1,    1","  512,    1,    1"
44,0.00,bitonic_sort_step,bitonic_sort_step..,"269,12","0,00","19,44","77,67",26,"32768,    1,    1","  512,    1,    1"
45,0.00,bitonic_sort_step,bitonic_sort_step..,"498,02","0,00","7,41","86,36",26,"32768,    1,    1","  512,    1,    1"
46,0.00,bitonic_sort_step,bitonic_sort_step..,"492,45","0,00","7,53","87,39",26,"32768,    1,    1","  512,    1,    1"
47,0.00,bitonic_sort_step,bitonic_sort_step..,"530,30","0,00","7,32","82,17",26,"32768,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"515,10","0,00","8,12","84,45",26,"32768,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"581,25","0,00","7,95","77,16",26,"32768,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"524,58","0,00","14,54","74,89",26,"32768,    1,    1","  512,    1,    1"
